iter	Passed	Remaining
642	3196	1774
643	3200	1769
644	3204	1763
645	3209	1758
646	3213	1753
647	3217	1747
648	3221	1742
649	3226	1737
650	3232	1732
651	3236	1727
652	3241	1722
653	3246	1717
654	3254	1714
655	3259	1709
656	3264	1704
657	3268	1698
658	3273	1693
659	3277	1688
660	3282	1683
661	3287	1678
662	3291	1673
663	3296	1668
664	3302	1663
665	3309	1659
666	3314	1654
667	3318	1649
668	3323	1644
669	3327	1639
670	3331	1633
671	3336	1628
672	3341	1623
673	3345	1618
674	3349	1612
675	3354	1607
676	3359	1603
677	3364	1598
678	3369	1593
679	3375	1588
680	3381	1583
681	3400	1585
682	3405	1580
683	3409	1574
684	3413	1569
685	3417	1564
686	3422	1559
687	3427	1554
688	3432	1549
689	3437	1544
690	3441	1538
691	3446	1533
692	3450	1528
693	3454	1523
694	3459	1517
695	3463	1512
696	3467	1507
697	3471	1502
698	3476	1496
699	3480	1491
700	3484	1486
701	3489	1481
702	3494	1476
703	3498	1471
704	3504	1466
705	3508	1461
706	3512	1455
707	3516	1450
708	3521	1445
709	3525	1439
710	3529	1434
711	3535	1430
712	3540	1425
713	3544	1419
714	3549	1414
715	3554	1409
716	3558	1404
717	3562	1399
718	3567	1394
719	3571	1389
720	3576	1383
721	3580	1378
722	3584	1373
723	3588	1368
724	3592	1362
725	3597	1357
726	3601	1352
727	3606	1347
728	3610	1342
729	3615	1337
730	3619	1332
731	3624	1326
732	3628	1321
733	3632	1316
734	3636	1311
735	3641	1306
736	3645	1300
737	3649	1295
738	3654	1290
739	3658	1285
740	3663	1280
741	3667	1275
742	3672	1270
743	3677	1265
744	3682	1260
745	3686	1255
746	3691	1250
747	3696	1245
748	3700	1240
749	3705	1235
750	3709	1229
751	3714	1224
752	3718	1219
753	3723	1214
754	3729	1210
755	3733	1205
756	3738	1200
757	3743	1195
758	3747	1190
759	3752	1184
760	3756	1179
761	3761	1174
762	3765	1169
763	3769	1164
764	3773	1159
765	3778	1154
766	3782	1149
767	3787	1144
768	3791	1138
769	3796	1133
770	3800	1128
771	3805	1123
772	3810	1119
773	3814	1113
